sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
50,4.67E-07,1.00E-07,9.30E+18,2.77E-07,1.26E-06,7.30E-04,8.75E-01,6.39E-01,1.49E+01,5.24E+03,6.29E+01,4.52E-01
51,4.63E-07,8.00E-08,2.14E+20,3.57E-07,1.29E-06,6.11E-04,,1.53E+00,9.14E+04,,3.72E-01,2.80E+02
52,4.84E-07,1.00E-07,3.88E+19,2.83E-07,1.28E-06,7.86E-04,8.63E-01,6.79E-01,1.39E+01,4.53E+03,6.20E+01,4.68E-01
53,5.00E-07,1.00E-07,3.32E+19,2.91E-07,1.29E-06,7.77E-04,8.66E-01,6.73E-01,1.44E+01,4.78E+03,6.08E+01,4.71E-01
54,3.62E-07,1.20E-07,4.41E+20,1.54E-08,1.30E-06,8.99E-04,,2.25E+00,7.23E+04,,1.48E-01,3.21E+02
55,3.79E-07,9.00E-08,2.67E+20,4.48E-07,1.31E-06,7.93E-04,8.61E-01,6.83E-01,1.43E+01,2.85E+03,7.16E+01,4.80E-01
56,3.88E-07,9.00E-08,3.99E+20,2.60E-07,1.29E-06,7.96E-04,8.58E-01,6.83E-01,1.46E+01,2.36E+03,7.64E+01,4.86E-01
57,3.75E-07,8.00E-08,1.08E+20,2.63E-07,1.30E-06,7.14E-04,,1.78E+00,8.89E+04,,1.14E+00,1.63E+02
58,3.88E-07,1.20E-07,4.18E+20,2.43E-07,1.34E-06,8.71E-04,,2.18E+00,6.34E+04,,2.35E-01,3.05E+02
59,4.05E-07,9.00E-08,4.26E+20,4.27E-07,1.30E-06,7.74E-04,8.62E-01,6.67E-01,1.46E+01,2.73E+03,7.53E+01,4.72E-01
60,3.74E-07,9.00E-08,4.13E+20,4.88E-07,1.29E-06,9.04E-04,8.53E-01,7.71E-01,1.20E+01,2.44E+03,8.84E+01,5.25E-01
61,3.84E-07,9.00E-08,4.45E+20,5.30E-07,1.32E-06,9.34E-04,8.53E-01,7.97E-01,1.19E+01,2.49E+03,9.02E+01,5.50E-01
