sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost,kappa
291,4.066119e-07,9e-08,4.789152e+20,8e-07,1.285776e-06,0.0003866928,0.9317709,0.3603091,31.17147,5812.167,39.70063,1.279487,
292,3.626759e-07,1e-07,8.867359e+19,6.80046e-07,1.323989e-06,0.000112329,1.184872,0.1330955,135.8109,14123.24,9.071649,23.06459,
293,3.581801e-07,9e-08,1.885865e+20,4.394794e-07,1.28173e-06,0.0001,1.205098,0.1205098,151.8305,9645.314,7.691984,28.82287,
294,3.947229e-07,1e-07,4.563732e+20,6.044437e-07,1.277263e-06,0.0003831726,0.9314242,0.3568962,31.27492,5685.062,37.38646,1.286338,
295,3.935304e-07,1e-07,1.039865e+20,7.470924e-07,1.325739e-06,0.0001146812,1.166977,0.1338304,132.7579,14311.01,9.472365,22.03977,
296,3.5e-07,9e-08,1.257856e+20,8e-07,1.277598e-06,0.0001753583,1.046702,0.1835479,78.74163,11610.0,7.873508,7.767151,
297,3.610077e-07,1e-07,9.749305e+19,7.613848e-07,1.332336e-06,0.0001108374,1.186084,0.1314624,138.94,14391.85,9.067807,24.13905,
298,3.674538e-07,1e-07,9.51999e+19,8e-07,1.334603e-06,0.0001106062,1.186985,0.1312879,139.5535,14766.99,9.091741,24.3526,
299,3.802927e-07,1.1e-07,7.703767e+19,8e-07,1.28315e-06,0.0002905239,,0.7263096,95787.24,,0.165066,317.7681,
300,3.68408e-07,9e-08,1.909455e+20,7.275254e-07,1.31484e-06,0.0001,1.180125,0.1180125,154.1104,11406.54,8.892737,29.69449,
301,3.635693e-07,1e-07,1.096509e+20,8e-07,1.330697e-06,0.000103737,1.207229,0.1252343,149.7723,14339.41,8.617669,28.04751,
302,3.541111e-07,1e-07,1.078239e+20,8e-07,1.336297e-06,0.0001050184,1.24368,0.1306093,150.2127,14330.87,7.952545,28.21336,
303,3.519554e-07,1e-07,1.105507e+20,6.635903e-07,1.323045e-06,0.0001,1.269886,0.1269886,157.1087,13246.7,7.491317,30.86199,
304,3.530511e-07,1e-07,1.104147e+20,7.84681e-07,1.325739e-06,0.0001041794,1.242504,0.1294432,150.1925,14142.59,7.954822,28.2056,
305,3.511788e-07,1e-07,1.083138e+20,7.837473e-07,1.324031e-06,0.0001033077,1.246767,0.1288006,151.3999,14185.35,7.888756,28.6607,
306,5e-07,1e-07,1.014133e+20,1.785095e-07,1.317161e-06,0.0001272869,1.135998,0.1445977,117.0266,11332.82,9.73457,17.12948,
307,3.717699e-07,9e-08,2.337801e+19,8e-07,1.295822e-06,0.0001,1.24969,0.124969,151.3588,17064.03,8.215542,28.64466,
308,3.914376e-07,1e-07,1.216848e+20,7.99937e-07,1.313122e-06,0.0001175333,1.146652,0.1347698,127.5078,14238.59,9.991845,20.33188,
309,3.54816e-07,1e-07,1.023435e+20,8e-07,1.326935e-06,0.0001,1.267968,0.1267968,157.6428,14438.96,7.615781,31.07209,
310,3.694947e-07,1e-07,1.168756e+20,8e-07,1.318832e-06,0.0001,1.216354,0.1216354,154.6265,14187.58,8.422206,29.89408,
311,3.627707e-07,1e-07,1.201979e+20,7.869262e-07,1.310679e-06,0.0001,1.213077,0.1213077,153.5307,13970.45,8.464661,29.47197,
312,3.698713e-07,1e-07,1.170482e+20,8e-07,1.31602e-06,0.0001,1.215334,0.1215334,154.2485,14184.83,8.441249,29.74815,
313,3.5e-07,1e-07,1.168386e+20,8e-07,1.314124e-06,0.0001,1.254012,0.1254012,155.7931,14042.02,7.765421,30.34721,
314,3.545338e-07,1e-07,1.215419e+20,7.976116e-07,1.316097e-06,0.0001,1.252675,0.1252675,156.0662,13935.96,7.771997,30.45365,
315,3.530822e-07,9e-08,1.904081e+20,6.44184e-07,1.295282e-06,0.0001092813,1.17109,0.1279783,138.3861,10839.09,8.991936,23.94658,
316,4.905877e-07,9e-08,1.646411e+19,0.0,1.283283e-06,0.0001537336,1.121111,0.1723524,91.84685,13947.86,12.19443,10.55966,
317,3.5e-07,1e-07,1.228135e+20,6.483554e-07,1.317453e-06,0.0001,1.260789,0.1260789,156.3046,12834.12,7.565754,30.54685,
318,3.767403e-07,1e-07,1.211009e+20,8e-07,1.29587e-06,0.0001328692,1.106844,0.1470655,109.255,13633.92,11.42446,14.93164,
