sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
62,4.671531e-07,1.017265e-07,1.082815e+17,2.766136e-07,1.261066e-06,7.303725e-04,9.871780e-01,7.210076e-01,1.444458e+01,2.476009e+03,3.640794e+01,1.601234e+01
63,4.641393e-07,1.005964e-07,3.375267e+17,9.979181e-08,1.317804e-06,9.020197e-04,9.232587e-01,8.327975e-01,1.184725e+01,2.619087e+03,5.966416e+01,1.101229e+01
64,3.672428e-07,1.059725e-07,7.711783e+17,6.831551e-07,1.290606e-06,1.230554e-04,1.473758e+00,1.813539e-01,1.185451e+02,8.513438e+03,9.051503e+00,1.053994e+03
65,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746322e+00,1.000000e+09
66,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748847e+00,1.000000e+09
67,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745524e+00,1.000000e+09
68,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748731e+00,1.000000e+09
69,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749336e+00,1.000000e+09
70,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749544e+00,1.000000e+09
71,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745672e+00,1.000000e+09
72,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749008e+00,1.000000e+09
73,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.750054e+00,1.000000e+09
74,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746806e+00,1.000000e+09
75,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746876e+00,1.000000e+09
