sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
4.400000e+01,4.933000e-07,9.403000e-08,2.548000e+17,1.565000e-07,1.326000e-06,6.162000e-04,1.004666e+00,6.190755e-01,1.871157e+01,2.858646e+03,3.633166e+01,True,8.753075e+01,3.832545e-01,2.652750e+01,2.073632e+02,1.252433e+02,3.466910e+02,8.063000e-07,1.053623e-03,3.208071e+02,8.670474e-01,7.683659e+03
4.500000e+01,4.312000e-07,9.356000e-08,7.422000e+17,2.103000e-07,1.260000e-06,7.389000e-04,9.206508e-01,6.802688e-01,1.424740e+01,3.181479e+03,5.924566e+01,True,5.074710e+01,4.627657e-01,1.554807e+01,2.020915e+02,1.310822e+02,3.482337e+02,8.518000e-07,1.847839e-03,4.302483e+02,8.582846e-01,9.696254e+03
4.600000e+01,4.211000e-07,1.148000e-07,3.219000e+17,1.720000e-07,1.343000e-06,9.185000e-04,1.981202e+00,1.819734e+00,6.989201e+04,9.398887e+03,7.032165e+00,True,1.221223e+09,3.311432e+00,3.663670e+08,2.229719e+02,1.306794e+02,3.679116e+02,7.651000e-07,6.987492e+04,6.991246e+04,9.304486e-01,1.033009e+04
4.700000e+01,3.819000e-07,1.253000e-07,6.068000e+17,7.350000e-07,1.281000e-06,5.337000e-04,9.749406e-01,5.203258e-01,2.138651e+01,5.518456e+03,3.813422e+01,True,1.143457e+02,2.707390e-01,3.449322e+01,2.159251e+02,1.287209e+02,3.595528e+02,1.851900e-06,8.526420e-05,3.850615e+02,5.808806e-01,1.149179e+04
4.800000e+01,4.168000e-07,1.062000e-07,3.846000e+17,4.664000e-07,1.359000e-06,5.111000e-04,1.028052e+00,5.254376e-01,2.393422e+01,4.046178e+03,3.212239e+01,True,1.432118e+02,2.760847e-01,4.315679e+01,2.160097e+02,1.266008e+02,3.572599e+02,1.349600e-06,4.422384e-05,3.550344e+02,6.771223e-01,8.965236e+03
4.900000e+01,3.895000e-07,7.466000e-08,9.745000e+17,4.752000e-07,1.307000e-06,6.810000e-04,,,,,2.226850e+00,False,,,1.000000e+09,1.756620e+02,1.256131e+02,3.163351e+02,1.339900e-06,8.811805e+04,8.813921e+04,6.480256e-01,6.865015e+03
5.000000e+01,3.825000e-07,1.022000e-07,2.884000e+17,3.905000e-07,1.264000e-06,6.868000e-04,9.684004e-01,6.650974e-01,1.557716e+01,2.924370e+03,4.329224e+01,True,6.066201e+01,4.423545e-01,1.850825e+01,2.120034e+02,1.309505e+02,3.578708e+02,1.163500e-06,6.181925e-05,3.278553e+02,7.244758e-01,8.166743e+03
5.100000e+01,4.018000e-07,7.014000e-08,5.050000e+17,5.230000e-07,1.277000e-06,5.684000e-04,9.726950e-01,5.528799e-01,1.967098e+01,2.647442e+03,3.447517e+01,True,9.673691e+01,3.056761e-01,2.923505e+01,1.678507e+02,1.288046e+02,3.113480e+02,1.447800e-06,2.475593e-06,3.168692e+02,6.093358e-01,5.030083e+03
5.200000e+01,4.112000e-07,9.948000e-08,1.197000e+17,6.691000e-07,1.312000e-06,8.278000e-04,9.723232e-01,8.048892e-01,1.305356e+01,2.317152e+03,3.768406e+01,True,4.259887e+01,6.478465e-01,1.323315e+01,2.003953e+02,1.265938e+02,3.416853e+02,1.749400e-06,2.462377e-06,2.354701e+02,5.579417e-01,5.634268e+03
5.300000e+01,3.582000e-07,8.385000e-08,7.723000e+17,2.277000e-07,1.346000e-06,4.380000e-04,,,,,2.625573e+00,False,,,1.000000e+09,1.860271e+02,1.255111e+02,3.261414e+02,8.136000e-07,7.088916e+04,7.091666e+04,8.571031e-01,8.118555e+03
