sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
64.0,3.672428e-07,1.059725e-07,7.711783e+17,6.831551e-07,1.290606e-06,0.0001230554,1.473758,0.1813539,118.5451,8513.438,9.051503,1053.994
65.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746322,1000000000.0
66.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748847,1000000000.0
67.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745524,1000000000.0
68.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748731,1000000000.0
69.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749336,1000000000.0
70.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749544,1000000000.0
71.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745672,1000000000.0
72.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749008,1000000000.0
73.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.750054,1000000000.0
74.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746806,1000000000.0
75.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746876,1000000000.0
76.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74968,1000000000.0
77.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746153,1000000000.0
78.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749016,1000000000.0
79.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748999,1000000000.0
80.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749429,1000000000.0
81.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749925,1000000000.0
82.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748945,1000000000.0
83.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74722,1000000000.0
84.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74679,1000000000.0
85.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746522,1000000000.0
86.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745477,1000000000.0
87.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748384,1000000000.0
88.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749025,1000000000.0
89.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745956,1000000000.0
90.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746468,1000000000.0
91.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746963,1000000000.0
92.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746513,1000000000.0
93.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746019,1000000000.0
94.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749775,1000000000.0
95.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746078,1000000000.0
96.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749147,1000000000.0
97.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74992,1000000000.0
98.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749388,1000000000.0
99.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746449,1000000000.0
100.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745662,1000000000.0
101.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749894,1000000000.0
102.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745414,1000000000.0
103.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748735,1000000000.0
104.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748936,1000000000.0
105.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749145,1000000000.0
106.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747346,1000000000.0
107.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749402,1000000000.0
108.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749222,1000000000.0
109.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746056,1000000000.0
110.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747538,1000000000.0
111.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746101,1000000000.0
112.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749358,1000000000.0
