sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost,kappa
2.600000e+01,3.784000e-07,1.300000e-07,7.930000e+19,5.771000e-07,1.312000e-06,3.858000e-04,2.221986e+00,8.572421e-01,1.125949e+04,1.274452e+04,4.403601e+00,9.508266e+04
2.700000e+01,4.063000e-07,9.000000e-08,9.259000e+19,1.712000e-07,1.323000e-06,9.630000e-04,8.502600e-01,8.188003e-01,1.188824e+01,2.686790e+03,7.327672e+01,5.753015e-01
2.800000e+01,4.745000e-07,8.000000e-08,3.532000e+19,2.269000e-07,1.265000e-06,5.828000e-04,,1.457000e+00,1.160230e+05,,5.147908e-01,2.552244e+02
2.900000e+01,3.958000e-07,1.200000e-07,1.034000e+19,4.533000e-07,1.332000e-06,7.477000e-04,9.429841e-01,7.050692e-01,7.650590e+04,1.094186e+04,5.874254e+01,4.389864e+06
3.000000e+01,3.659000e-07,1.200000e-07,2.161000e+19,6.787000e-07,1.279000e-06,6.332000e-04,8.839991e-01,5.597483e-01,1.793208e+01,7.229286e+03,5.199332e+01,4.604923e-01
3.100000e+01,4.666000e-07,8.000000e-08,2.475000e+19,5.649000e-07,1.350000e-06,4.862000e-04,,1.215500e+00,6.948442e+04,,1.853269e+00,8.797373e+01
3.200000e+01,4.429000e-07,7.000000e-08,4.826000e+19,2.753000e-07,1.326000e-06,1.169000e-04,1.166989e+00,1.364210e-01,1.295979e+02,1.059768e+04,9.081180e+00,1.260975e+01
3.300000e+01,4.800000e-07,1.100000e-07,3.450000e+19,2.544000e-07,1.316000e-06,1.305000e-04,,3.262500e-01,8.066303e+04,,2.459141e-01,3.026157e+02
3.400000e+01,3.687000e-07,9.000000e-08,2.721000e+19,5.952000e-07,1.343000e-06,8.913000e-04,8.591102e-01,7.657249e-01,1.274861e+01,4.280010e+03,6.890498e+01,5.323295e-01
3.500000e+01,4.153000e-07,8.000000e-08,4.574000e+19,7.624000e-07,1.264000e-06,5.219000e-04,,1.304750e+00,1.161271e+05,,5.999114e-01,2.411831e+02
3.600000e+01,4.912000e-07,1.200000e-07,1.262000e+19,1.526000e-07,1.337000e-06,5.686000e-04,2.365494e+00,1.345020e+00,7.166829e+04,1.168767e+04,3.593967e+00,3.852259e+06
3.700000e+01,3.866000e-07,1.000000e-07,4.224000e+19,6.819000e-07,1.285000e-06,1.499000e-04,1.098510e+00,1.646666e-01,9.406962e+01,1.529089e+04,1.231538e+01,6.655801e+00
3.800000e+01,4.862000e-07,8.000000e-08,8.018000e+19,2.129000e-07,1.311000e-06,6.569000e-04,,1.642250e+00,8.512037e+04,,1.425210e+00,1.290241e+02
3.900000e+01,3.918000e-07,1.100000e-07,5.045000e+19,2.389000e-08,1.270000e-06,7.675000e-04,8.639484e-01,6.630804e-01,2.500193e+01,3.906686e+03,5.885260e+01,7.765954e-01
4.000000e+01,4.265000e-07,1.100000e-07,6.117000e+19,7.513000e-07,1.354000e-06,7.260000e-04,2.434983e+00,1.767797e+00,6.428569e+04,1.079040e+04,3.369334e+00,3.099489e+06
4.100000e+01,4.568000e-07,8.000000e-08,5.452000e+19,6.600000e-07,1.324000e-06,9.917000e-04,2.291764e+00,2.272742e+00,8.082435e+04,8.678469e+03,3.895723e+00,4.899436e+06
4.200000e+01,4.029000e-07,1.300000e-07,1.963000e+19,3.250000e-07,1.296000e-06,2.149000e-04,2.071766e+00,4.452225e-01,1.051623e+04,1.491732e+04,4.668336e+00,8.294352e+04
4.300000e+01,4.326000e-07,8.000000e-08,9.807000e+19,7.427000e-07,1.309000e-06,6.127000e-04,,1.531750e+00,8.543199e+04,,1.778804e+00,9.427448e+01
4.400000e+01,4.954000e-07,1.000000e-07,8.555000e+19,5.214000e-07,1.345000e-06,4.657000e-04,9.134596e-01,4.253981e-01,2.676588e+01,6.976855e+03,3.644511e+01,6.639839e-01
4.500000e+01,4.012000e-07,9.000000e-08,3.311000e+18,2.858000e-07,1.281000e-06,1.906000e-04,1.117501e+00,2.129957e-01,7.085668e+01,1.060815e+04,1.624645e+01,3.797259e+00
4.600000e+01,3.591000e-07,9.000000e-08,8.694000e+18,4.535000e-07,1.282000e-06,7.355000e-04,1.301976e+00,9.576032e-01,1.048006e+04,1.553859e+04,1.874811e+01,8.237444e+04
4.700000e+01,3.537000e-07,1.000000e-07,6.761000e+19,4.759000e-07,1.267000e-06,5.178000e-04,9.038860e-01,4.680322e-01,2.250665e+01,6.184665e+03,3.872421e+01,5.332498e-01
4.800000e+01,4.092000e-07,7.000000e-08,8.219000e+19,4.146000e-07,1.275000e-06,3.219000e-04,9.406697e-01,3.028016e-01,3.813714e+01,5.770628e+03,2.730430e+01,1.155013e+00
4.900000e+01,4.322000e-07,9.000000e-08,9.135000e+19,1.786000e-07,1.263000e-06,7.005000e-04,8.663718e-01,6.068934e-01,1.607875e+01,3.406015e+03,5.593793e+01,4.517184e-01
5.000000e+01,4.468000e-07,1.000000e-07,6.956000e+19,1.114000e-07,1.272000e-06,1.665000e-04,1.061218e+00,1.766928e-01,8.251320e+01,1.097431e+04,1.278228e+01,5.128175e+00
5.100000e+01,4.677000e-07,1.100000e-07,5.741000e+19,6.286000e-08,1.303000e-06,8.306000e-04,,2.076500e+00,8.552295e+04,,9.730886e-01,1.850829e+02
